Outward remittance flows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,%GDP_2021
Angola,150.0,124.5,121.637,132.9,148.9,209.546,173.802,179.95,201.65,263.07,266.29,216.06,223.50795912,229.84996999999998,296.0095912,214.9052159,412.66678497,602.6714512799999,669.453676,716.0,714.458886,564.261541640106,2051.320868263263,2395.9658557973194,2746.6158731854075,1252.9090116900002,1176.11031356,961.4152762399999,681.6270154922674,549.0820425510593,576.4714367789888,445.40014382405803,0.5924528709134971
Argentina,0.0,0.0,142.8,163.10000000000002,176.6,195.20000000000002,207.29999999999998,231.70000000000002,246.5,250.3,267.7,256.09999999999997,119.55000000000001,180.41,234.47000000000003,314.01,356.5,463.19209727043307,631.436069113049,766.5715483081789,1037.765445694394,1137.05450560572,979.2059223331753,887.8034865611369,732.4145571459818,685.0013659142787,769.2420579867332,1060.484529955312,1010.3755356443319,694.8990630521067,545.1515252350846,588.5597441915966,0.12092815402270722
Australia,601.367466962332,522.6171286336405,457.80604958798176,441.5629340398448,487.6955221575963,570.2,728.1777537769644,771.0925380146127,796.7006728732041,870.8548033883096,868.990623794047,855.0783674215286,991.4884924146961,1380.8071378144095,1608.9665095388423,1531.0792164499176,2051.2272194533475,2980.8708740737566,3366.427026749123,3224.4011816774973,4655.461396622254,6597.638171474064,7084.418881546252,7253.781716439253,6953.239775091641,6037.610106728199,6179.374297708557,6793.253706781762,7267.729293558821,7439.097688915976,4358.562385292666,3804.2128168561417,0.23263728390105162
"Bahamas, The",38.7,49.5,28.8,27.3,28.0,31.7,33.2,36.800000000000004,39.3,47.1,56.17,53.62,57.66973,62.75,71.39,83.96435,100.28999999999999,94.99000000000001,65.92482,63.34,88.03999999999999,119.727,139.704,138.725,150.8192409824,178.8001407306,193.8485178571,262.3281674932,210.70145042809997,206.89999999999998,235.46849352000152,246.1343280200017,2.1958633956642135
Belize,7.15,5.7,6.0,6.0,6.5685,6.8815,6.875,7.55,6.8999999999999995,5.9721245000000005,6.435358715,16.029825407301963,16.651088771768524,19.74950896578509,18.013818139463524,19.332237978542018,20.60862833764989,21.45497541592177,27.977571046178973,22.50892220453628,21.99180770542831,23.5,26.32684622594624,31.523217674276836,33.26979750727424,41.16136053044011,45.20222080037393,45.60761989013333,42.97910073585681,41.88105182840853,42.407418735984116,41.69320535536964,1.7185987368247997
Benin,20.687581535308553,20.727602966869217,21.149125073485127,21.45869701684793,23.251784613878083,26.484507040424397,33.615322657814936,17.064455446480906,29.877018359554608,5.9368939435672585,8.90161784217862,10.267645664645848,6.648280332340047,5.247479748418453,5.6377500160204015,33.54143101899371,60.845024603029415,107.68777461829701,74.61434284421469,70.22849642535641,63.44050931184026,61.6,87.74193291895465,101.06251875772496,144.36322397077197,98.21693345740935,88.13669440922433,72.94619416731862,94.45884334432832,87.49744653695154,92.06308858809457,100.18432866215201,0.5660451362345444
Bolivia,7.7,8.6,8.9,9.5,9.8,9.2,13.0,12.0,15.1,32.1,37.0,36.38,37.88,45.781410246114504,50.586782926162854,66.71982004045,73.240336466,78.912289447,105.88344960071571,103.47,101.7840717,117.2585635394641,147.11267228584856,172.15881423779308,180.10000000000002,210.17574352140522,222.25046434047852,232.927804367505,251.81564331512732,275.4215737365872,215.67993157125693,293.7313824572384,0.721645535850523
Botswana,117.98120452807763,117.92892276084251,139.2124565997938,131.4445487655149,145.3078255583465,198.93899204244008,86.3667312102472,119.01620574327389,117.72766855660832,122.26463557586258,133.94112718429307,129.09197255232027,129.6161509742076,185.58891777224042,99.20036927884108,107.03290174427127,97.41008181397186,98.64607420096134,57.5615679031087,59.50369164933872,99.80000000000001,122.3114870091032,124.13050902489894,97.48926438696316,105.39685746498583,94.7421117026077,80.44798079588482,81.24653489425,63.43891056939022,99.40376084786875,163.60299818263258,236.6465837716181,1.3435141578949592
Brazil,11.0,21.0,34.0,198.0,250.0,336.0,396.0,360.317,361.644,306.805,338.325,344.83299999999997,329.421,295.98,339.49300000000005,373.953,529.306,562.634,813.083,730.8960999999999,1023.6999999999999,1123.8171215799998,1063.6708867900002,1150.18900834,1538.77589725,1339.08689017,1385.07600647,2238.14084416,2253.24743004,2231.58319817,1607.7873522099999,1755.08176344,0.10914144591313865
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2257320647701,96.97567354830451,353.78165980078955,375.5746789328789,405.46649367827877,430.2853466496893,420.3601590495743,444.81743855759265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.149953862664402,10.418163014293913,0.07438357142862997
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,33.5,15.5,3.42033863825527,3.81722984349167,25.957718796530465,26.957168672357803,14.49271600146842,12.586214157214389,29.436635345077697,35.45228532738008,49.57745277195734,102.60542173924648,161.81095199894736,101.24992856739439,90.39999999999999,104.54,107.09,161.95000000000002,169.06,114.85000000000001,126.53,163.04,195.08,204.57,189.12,157.23000000000002,0.19573742328233348
Cambodia,0.0,0.0,14.1,14.9,38.4,52.0,77.2,38.8,41.9,54.20217,59.6179,52.34645,69.65603999999999,56.19808,56.24679,128.4905,120.2405,118.3965,170.6275,159.28713188463635,163.0,192.43681910118642,265.124288352564,297.25564481540096,359.610112126491,314.34083523897505,356.8574920121965,324.477385964618,309.8026267557384,279.02493988337596,226.4590746516703,266.1333707300066,1.0114140186600031
Cameroon,110.88470245023795,95.35392136826314,135.06274051037752,106.51124895547181,62.2293007792314,22.338045001076576,37.081634017249534,35.56534055624791,33.51002717891427,28.128756540232118,30.05471733677426,41.76214682469285,55.8387796577531,56.8640220006648,42.24614694144047,56.198255161085825,91.75277343950708,89.6823569736026,56.57622792800255,130.4696110016787,54.23264182459131,80.71747677135232,72.90086753733476,65.13064284014094,82.22662742090873,75.60743495524477,81.19999999999999,83.59286367821878,88.88795741668862,86.39625625509686,101.57811243727491,40.311259134872564,0.08880892497383305
Canada,1314.1531660806975,1312.7992740390505,1225.0212641846597,1137.2404871833166,1180.8364236482994,1306.023051787756,1451.2317275757953,1547.2673417723236,1494.6404641440072,1614.2429821528149,1696.6222594351043,1774.974003288466,1970.679764058526,2242.154647119838,2610.530518919897,3261.615579717144,3286.690324299493,4567.0222410890565,4859.141896898049,4662.098288991501,5290.453957417123,5557.756827741734,5629.382995173408,5702.499908425154,5948.213016806358,5114.157603633637,5255.722464641915,6482.765219330161,7578.422449323885,8763.218444024726,6784.862776675918,7214.284393275939,0.36283024565646543
Chile,7.2,0.0,0.0,0.0,0.0,0.0,14.0,20.5,15.808,14.4,15.6,15.7,15.9,3.5,3.60000163216023,3.199999162899985,3.199999841220233,3.200000504991294,3.1999997251396053,103.9398620000006,148.78898899998413,177.0894709999824,237.6274829999823,310.1046159999894,304.4349329999779,386.47676899998214,345.5940935428733,492.037287263703,623.8662997138281,722.743058630458,774.0980580109559,761.871993441819,0.2405126727410484
China,5.0,18.0,15.0,15.0,19.0,0.0,0.0,198.0,272.0,593.0,754.29,936.0,1172.9432403348,1597.0689544748002,1997.9942757942,1817.4,2329.99281257431,2493.058145241023,2736.3907913778444,2051.656434,1455.455375,1618.147148,1788.058506,1714.202599,4155.30205229,5718.19107259,6210.890955569999,16253.28687731,16548.07839586,15135.300288470002,18295.88948274,22903.47345637,0.12907262957360646
Comoros,4.433221927826641,6.366434721191699,11.03556945969173,5.360923276773029,6.047087247375574,3.5046751448048203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115316625498951,0.3160528095089361,0.3995511149562529,0.4083515876085489,0.4557416765950347,0.6670846868845027,0.5942964713070092,0.7866116985476141,0.8953310972842126,0.8263995907601892,0.0,0.9816941795209269,1.061490514070976,0.920601507883415,1.9291458744799908,4.708655667844216,4.660667553377136,1.0641868422708023,2.9915081711656897,0.2329835024272344
"Congo, Dem. Rep.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,31.5,26.4,37.4,30.9,57.2,812.6,669.7459919070495,920.031731820626,450.6777406125924,851.1774110399999,450.3606184760243,532.4631048501457,913.8204608480033,1004.4816945491732,746.0313005904136,730.5804190403471,1.2918508638628317
Costa Rica,0.0,0.0,0.0,0.0,7.1,35.5,46.02,67.18,92.95,122.4535485718916,142.39999999999998,140.49179145090199,147.8011106689109,192.016734,191.5482344,209.02905,246.34342936172558,271.4142813773672,268.61817199,238.59820000000002,259.38291200000003,290.54335830802535,346.0354327576023,402.6046370399864,419.22282917186755,407.7840452301908,416.12921348039833,468.50481136368705,506.6934515811335,530.4212262875502,496.4688065633858,548.5818086486172,0.8516103026353559
Cyprus,12.006638579621924,18.302063719173134,23.801654363275176,24.52728845129941,33.72674429235805,47.52219636539923,53.6122600516286,50.59376321599908,52.14110864549473,52.491238797840126,48.199808127274885,79.2898447603301,107.04159518548265,183.9198041531987,213.44284273232904,240.67453645814555,239.60465682760895,304.67715069250784,814.0,694.8263328817162,951.993213506516,895.41859689602,759.7517763800563,742.2617950643744,790.2065174194651,634.5304366537022,689.8544941679605,776.5219931458673,869.951114575012,840.8057880004512,863.6321120321037,960.4521494606366,3.462586161441476
Czech Republic,0.0,0.0,0.0,6.249997704910024,55.021463718416065,100.44881935135483,302.117151805253,340.0256083805443,738.8603670550024,633.7660099663138,602.8666779054441,711.1134683826393,892.5507093432246,1099.9062176162604,799.5,1340.7064598535642,1677.693601209574,2295.8093097445517,2586.100789092754,2044.6022120378718,1496.9822526705373,1522.1378501490403,1334.6259444268687,1079.1986200845472,1523.3334185186727,1376.3923393545824,1658.6047482293836,2055.5104478686976,2786.2000904471424,3447.0703544776293,3251.663148542569,4069.2206489777536,1.4441229084519562
Denmark,0.0,0.0,160.46368896759674,159.68075943812545,199.7812435517622,209.07980373951654,0.0,369.75099217006897,346.4256695988554,693.7942241673804,661.9575289194889,744.8172196917408,860.1175777740483,1029.285318119176,1226.1774512622414,1511.6,1775.3078745045266,3053.8902145806383,4024.5810533738504,3390.9695839264136,2833.3427040010997,3148.221907694286,2979.3977067869487,3058.9952264407916,3171.598140133584,2781.2620092514344,2914.4301904719105,3140.5919423079185,3392.801094091937,3363.4229492311924,3386.838621702716,3647.0229874335455,0.9156403510477062
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36574180879018237,1.35605809105283,1.4967280175105924,1.761187479251186,1.7780678704261172,1.6880391174931493,4.8390454701470285,4.670241558397713,4.670241558397713,4.726509528980818,4.698375543689266,5.120385323062553,5.789974173001503,11.619335925411178,12.857231278239487,12.407087513574647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6880391174931493,1.1309862087204101,0.03354051627284727
Dominican Republic,0.0,0.0,0.0,10.2,7.4,7.0,8.9,7.6,18.5,17.8,19.3,21.7,22.5,22.9,23.9,24.7,26.6,28.2,34.5,26.9,534.0,565.5,565.2,531.1,574.8,585.0,617.1,651.4,622.7,741.1,837.3,871.8,0.9204552653250838
Ecuador,2.0,3.0,3.0,3.01,5.0,4.0,9.0,4.4,5.01,5.0,6.0,6.932673063000001,7.281253067390001,6.50469417284,6.5,54.02003699999996,62.455627095238114,83.15561815638095,65.59744357776827,95.34786585166245,135.97115248992066,148.37507353529992,154.0491085017469,167.26821110415895,195.91506363213438,291.5336622006591,302.4,371.4695047729195,467.4453074935833,654.6689802879423,518.0196714919215,603.9660534911752,0.5688883950522533
"Egypt, Arab Rep.",26.5,33.0,233.0,140.0,255.0,223.0,142.0,344.2,108.0,38.8,32.0,34.7,14.4,79.1,12.8,57.2,135.0,179.6,241.3,254.8,304.8,292.9,292.7,354.9,351.4,622.7,352.2,270.8,514.5,471.9,444.9,442.1,0.10447955192664454
Estonia,0.0,0.0,0.32020441516958087,0.18091553218832818,0.7599453578631896,3.4895485827995683,2.1928805765351536,4.576594249691769,3.1522812415298818,3.3589214495801336,3.0382264001468586,2.237405010968756,4.758523048817968,16.4,25.310403311688347,49.189886869924436,73.83084853984009,90.85657914081885,127.90538658580923,92.42648802446688,123.27963708932175,113.54146349842387,113.16492502160382,100.29264508471331,113.88703568817974,93.6821924405709,121.86805290030694,150.9582748515807,234.33748582489966,249.20540048060104,220.4403981933147,257.70421621933593,0.6924554391104254
Eswatini,4.096902039915813,5.142477406597943,7.573594918445055,6.645874358842999,5.893604208255519,3.4435366141129857,3.658228115534538,2.1584380946456063,1.6243738073642793,6.775367423954638,20.743452587804175,26.487653635648854,21.147363374637532,38.85617930270654,4.102672069916641,7.976785808354502,16.586307982946778,7.861622499331119,6.339630087069432,10.725156325668893,11.692037265664387,27.799999999999997,49.54787054590652,27.141111141873015,17.501863181514103,19.330858635366774,18.84975345324301,19.467166588036147,24.23354248032353,26.89145126730286,24.421403352557462,40.599677079773244,0.855811068292016
Ethiopia,0.0,0.3864734299516908,0.7363285024154589,0.42,0.34915860354839345,0.24360357031131524,1.0845850862158781,5.237572522473367,4.259554820920293,3.449004439433365,12.556900749315643,14.02347789781563,16.578457701103947,17.266999850196143,9.223744770198806,16.399501054888237,14.131041586253405,14.567672842301786,21.3039897457363,26.549565240066666,46.967151950651015,21.832481874453357,19.88214540313963,23.077322292923796,14.253223300570529,14.437634411013919,29.86953926321458,12.461832148055002,8.68944930751725,19.080067104201305,17.079651631943072,14.213187631624374,0.014317851123335959
Finland,15.720900310020575,58.528759847911566,34.072172082061435,35.023238566362366,41.52025892128418,54.08978944466471,54.87434698008614,88.7023181716049,103.76967040666204,110.89230476190492,99.71615007798671,96.71085453363192,113.50698861986196,149.16039997667684,224.87452205952414,266.2,436.84666105614247,553.3232726505893,684.9920694140396,686.7119884048592,720.8324159177487,445.2099784577918,774.4485566615713,1084.9761065362734,1015.3690080714263,927.6591814888354,882.1811000032192,997.5041497235004,1011.15402327839,958.4033020021661,977.0989423815242,1012.8654894660882,0.3403731796911999
France,6773.1222366245565,6891.364594176703,7978.348004096531,7284.907934785236,4148.438984001252,4794.655248893102,4319.043066441474,3991.027127067997,4236.760893195506,4816.0,5120.657542467515,5384.609627450873,6134.107943231513,7721.6696398145705,9094.683582689948,9470.05238513183,10285.441104426282,11945.214337797208,13269.36277008965,11766.845174633556,12026.060391507852,12857.522696011863,12561.160242531043,13424.774110175638,13729.849894483146,12791.549840918138,13284.455662470114,13798.960222936168,15022.558189931346,15041.212238839107,14778.152520074806,16115.182200894642,0.5449058623936243
"Gambia, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5261034898022912,0.5221430731960457,0.7429458637547646,0.9467063473329123,14.640731874283947,3.1853235466297356,8.412067918793813,58.1190881989003,91.36270871702821,66.13600229763183,69.58519435994688,25.235850134266776,20.5,17.79742918521699,18.17436527430621,19.006746070219073,18.92594295036288,18.308188550361898,26.83681134433563,1.3194105872338069
Germany,6542.014537019342,6600.6,8223.092675563326,8176.482166306998,8870.12346154043,10891.06959506818,10517.822321499936,9473.832024478237,9108.422590004795,10086.65347853481,8662.856855468526,9184.539370748229,10126.521386574825,11566.286326823232,12607.398368362214,12705.661655871612,12705.044233790226,14079.161786564051,15236.463878876468,15336.343939816745,14682.106066378057,16125.581285633101,15581.42860947274,19976.705774634604,20084.390151753287,18248.80557639847,19348.10733962356,21699.11580525696,18075.495506501862,17772.723434848518,15680.230871835283,17325.98278982682,0.40644920986361255
Ghana,3.4,3.7,3.9,3.9,4.6,4.7994,5.0,5.4,5.6,5.9,6.0895129065472,6.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,4.84,8.94203167182118,2607.1063873377398,1548.90968762726,1112.21,956.2480761504461,667.2625062602269,727.201189577844,812.831957035108,1.0268604886934927
Greece,122.0,118.0,173.0,250.0,222.0,300.0,319.0,342.0,0.0,630.5713335970433,545.0997119096298,536.1526784816538,411.7338938242071,379.4747802509909,496.95458384158917,902.051035971901,982.3161130037397,1459.4830450701554,1912.0666198185554,1844.5,1931.8190130715523,1941.807064300859,1437.3862087662808,1291.0612649395794,1424.4991974017437,1870.2011424709954,1800.3188755291799,2083.3547267023287,2287.1289992100287,2666.198439311135,2725.2632439749714,2937.5638884774653,1.3575698242372196
Guatemala,13.5,19.2,19.700000000000003,8.600000000000001,10.600000000000001,7.8,12.7,20.5,33.3,26.9,55.6,32.4880933102828,81.92295720999999,86.086,33.7,42.099999999999994,45.5,16.9,26.5,21.976599999999998,20.76247,26.790599999999998,27.9052,27.745530000000002,26.12559,22.906100000000002,18.78648,18.333869999999997,18.91029,18.00769,18.664569999999998,19.967930000000003,0.023225544932188806
Guinea,20.4,20.94,21.57,19.92,22.240000000000002,10.43,11.261,14.4,22.930000000000003,17.927619999999997,26.910849502734383,36.833045673392206,17.810000000000002,46.37641098460284,47.95,59.86000000000001,51.599999999999994,38.96,55.510000000000005,44.9,40.980000000000004,38.809999999999995,50.72,80.67999999999999,35.85798115139774,25.6995005148516,33.87067712235626,27.78,22.89,82.69,22.62,43.55,0.26972624798711753
Guyana,0.0,0.0,2.72,9.05,8.55,8.97,23.3,17.9,21.599999999999998,27.200000000000003,27.4,24.1,53.1,50.4,80.627,54.806,48.429,61.144,72.15444274,85.62487503,128.119878587356,138.27,183.688021187932,122.837355318773,122.22953032359601,132.0,137.96341260340117,139.3315081905201,142.3911336897954,149.0605255066313,130.3192232451372,196.7049257372356,2.5489818029964444
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.34,22.0,31.35,38.52,59.686,75.515,96.408,117.08021167777781,134.8240037777778,166.9785616606625,240.2373935333332,231.9240771555555,247.69432073333329,248.5970743956264,247.2976612506611,266.3401223100867,297.7103404301353,309.403439143222,284.9752986127222,549.4832071720001,678.498745922534,3.2283329967290006
"Hong Kong SAR, China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.2,167.0697175414428,225.38493267787678,308.51099973825717,298.88765653350913,317.2068357675791,320.6206560991401,348.0866643549639,376.5509184281372,387.6250089079173,393.1066553335273,413.32624377410616,482.936786176408,554.3449736785217,607.1185052231468,656.3980551619428,711.4986991346282,758.6705606007783,816.5260025845763,875.4733437899575,933.9730458145414,997.2160593433493,908.5459673611538,914.0365859637423,0.24760037327207926
Hungary,0.0,0.0,0.0,0.0,0.0,517.0,459.1146375469401,399.23218898560947,378.6117244820266,347.58735766197407,301.2895444342289,314.9750999073376,391.6342482258767,483.6263643439161,581.7617115328594,697.440225273857,797.9073421386482,999.7746972137511,1119.427431323928,896.3158971687567,859.8924872134338,913.9316926024519,863.0971894263625,858.4808891935104,868.8450382021663,676.85184605136,782.1063476666703,863.3527901816136,1093.917694940058,1386.506530297675,1353.4675752136986,1622.5227337911588,0.8901216988008397
India,105.59230784984629,51.58417042576939,67.77693244763066,259.4239272280727,350.83285749881526,419.1735666736667,537.9892696887864,161.58293028485943,44.157098005867674,36.167394580906006,486.14191892058784,751.0846973280293,1186.8001480518162,1265.4198100287567,1652.7831744797627,1348.2828578368478,1561.8653622548627,2059.330846416953,3812.3635805274143,2890.0,3828.6784984633473,4077.745355884924,4963.082153948808,6431.771261443804,6221.785952855262,4882.832496029115,5622.636934737198,6958.929627681167,6781.570846837902,7531.590149758273,7010.825358501104,8181.397793024899,0.2575766802912858
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,781.3000000000001,17.3,31.400000000000002,26.7,48.4,78.0,548.0,484.0,599.3,539.3000000000001,349.6,396.2,499.7,664.3,580.7,852.4,0.4122913512650727
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0422903979859,1853.3125047134588,2519.8967885088396,2672.7467045179624,2550.787027085895,2266.001454834054,2194.956463947509,954.4205926426819,909.8451320939818,934.1,703.547560974833,694.0322429411516,1613.2575660368634,725.122899670331,754.3503541125552,623.775986168865,544.0326480519483,0.10783237196208419
Israel,850.0,795.0,1116.7,907.6,919.2,1407.2,2025.1,2399.3,2874.0,3080.8,3255.1,3038.7,2780.5,2501.9,2217.8,2205.6,2381.2,2824.0,3679.4,3464.5,3768.5,4251.0,4220.0,4837.3,4836.6,4732.7,5004.1,5873.1,5902.4,6242.6,5776.2,6809.1,1.3938021849355309
Italy,3668.683914984048,2574.479989378444,2444.0443253412072,2297.129121371395,2113.071416792285,1689.1126844877867,1975.7682110271373,2028.2589996822117,2262.866024319122,1920.7,1945.1375036764416,1897.1274885440803,2062.4579597780807,2513.5318603247733,2688.6356508657964,2587.6788700183015,2463.936256973489,2870.2568493563576,14445.39989583948,14402.098597250775,12882.879135786405,14509.942723018034,11821.288113610346,11565.68255180433,11135.811955508369,8860.397466692733,8677.587198877718,8841.573147745445,9906.85158773809,9577.332780600536,10194.686590985837,12273.005631385284,0.5840742230971807
Jamaica,10.8,11.2,11.5,13.7,32.1,50.099999999999994,70.1,83.6,105.10000000000001,119.5,152.0,179.4,242.3,322.2,390.8940110778,368.74151438,357.92685010484763,396.1825776016667,364.617028726,268.9977113729212,279.30992690478837,305.4,333.5405132165047,297.4257075385832,275.08179834313455,287.14024449268754,298.1124848583854,313.9692435019417,309.1106627151201,324.8825120186888,306.2755378763927,346.66466540198354,2.253117544533885
Jordan,70.51583757357004,61.10533116685358,86.05765137629652,78.0730894153747,93.0230188988233,107.06219993033751,99.8589562764457,200.0,207.0521861777151,203.94922425952046,197.46121297602258,193.2349226042158,193.93516895743,226.93935119887166,272.07334273624826,349.2242595204513,401.5514809590974,479.2667347285998,471.7791677301549,502.2535211267606,605.3,549.8591549295775,684.7887323943662,534.9295774647887,675.2112676056339,596.7605633802817,570.0,672.8169014084508,637.1830985915494,663.2394366197184,455.0704225352113,623.8028169014085,1.3768354049074283
Kazakhstan,0.0,0.0,0.0,0.0,0.0,6.6,19.2,24.1,35.9,60.5,121.5,203.1465,364.81756309138405,650.850447,1219.483642809356,1893.131774858688,2958.485460452029,4212.277481719376,3461.671985159943,2934.0612835818342,3005.774880437663,3409.435906800476,3432.439704728682,3386.49373539602,3457.352394127324,3181.475768052969,2396.148203760261,2690.697275004375,2680.0810276183465,2660.169693958282,2080.8348872067386,2577.375264413198,1.3075689275199875
